Title,Date
"Riverside Escape Oval",-02-24
"Surprising Falls",-03-2
"Shadow Pond",-03-9
"Misty Forest",-03-16
"Natural Wonder",-03-23
"Splendor of Winter",-04-27
"Colors of Nature",-05-4
"Grandpa's Barn",-05-11
"Peaceful Reflections",-05-18
"Hidden Winter Moon Oval",-05-25
"Waves of Wonder",-06-1
"Cabin by the Pond",-06-8
"Fall Stream",-06-15
"Christmas Eve Snow",-06-22
"Forest Dawn Oval",-06-29
"Pathway to Autumn",-07-6
"Deep Forest Lake",-07-13
"Peaks of Majesty",-07-20
"Two Seasons",-08-17
"Nestled Cabin",-08-24
"Wintertime Discovery",-08-31
"Mountain Mirage",-09-7
"Double Oval Fantasy",-09-14
"Contemplative Lady",-09-21
"Deep Woods",-09-28
"High Tide",-10-5
"Barn in Snow Oval",-10-12
"That Time of Year",-10-19
"Waterfall Wonder",-10-26
"Mighty Mountain Lake",-11-2
"Wooded Stream Oval",-11-9
"Golden Mist Oval",-01-4
"Old Place Home",-01-11
"Soothing Vista",-01-18
"Stormy Seas",-01-25
"Country Time",-02-1
"A Mild Winter's Day",-02-8
"Spectacular Waterfall",-02-15
"View From the Park",-02-22
"Lake View",-03-1
"Old Country Mill",-03-8
"Morning Walk",-03-15
"Nature's Splendor",-03-22
"Mountain Beauty",-03-29
"Half Oval Vignette",-07-5
"Absolutely Autumn",-07-12
"Mountain Seclusion",-07-19
"Crimson Oval",-07-26
"Autumn Exhibition",-08-2
"Majestic Peaks",-08-9
"Golden Morning Mist",-08-16
"Winter Lace",-08-23
"Seascape Fantasy",-08-30
"Double Oval Stream",-09-6
"Enchanted Forest",-09-13
"Southwest Serenity",-09-20
"Rippling Waters",-09-27
"Snowfall Magic",-01-3
"Quiet Mountain Lake",-01-10
"Final Embers of Sunlight",-01-17
"Snowy Morn",-01-24
"Camper's Haven",-01-31
"Waterfall in the Woods",-02-7
"Covered Bridge Oval",-02-14
"Scenic Seclusion",-02-21
"Ebb Tide",-02-28
"After the Rain",-03-7
"Winter Elegance",-03-14
"Evening's Peace",-03-21
"Valley of Tranquility",-03-28
"Mystic Mountain",-04-4
"New Day's Dawn",-04-11
"Pastel Winter",-04-18
"Hazy Day",-04-25
"Divine Elegance",-05-2
"Cliffside",-05-9
"Autumn Fantasy",-05-16
"Old Oak Tree",-05-23
"Winter Paradise",-05-30
"Days Gone By",-06-6
"Change of Seasons",-06-13
"Hidden Delight",-06-20
"Double Take",-06-27
"Valley View",-09-5
"Tranquil Dawn",-09-12
"Royal Majesty",-09-19
"Serenity",-09-26
"Cabin at Trial's End",-10-3
"Mountain Rhapsody",-10-10
"Wilderness Cabin",-10-17
"By the Sea",-10-24
"Indian Summer",-10-31
"Blue Winter",-11-7
"Desert Glow",-11-14
"Lone Mountain",-11-21
"Florida's Glory",-11-28
"Autumn Images",-01-1
"Hint of Springtime",-01-8
"Around the Bend",-01-15
"Countryside Oval",-01-22
"Russet Winter",-01-29
"Purple Haze",-02-5
"Dimensions",-02-12
"Deep Wilderness Home",-02-19
"Haven in the Valley",-02-26
"Wintertime Blues",-03-5
"Pastel Seascape",-03-12
"Country Creek",-03-19
"Silent Forest",-03-26
"Frosty Winter Morn",-09-3
"Forest Edge",-09-10
"Mountain Ridge Lake",-09-17
"Reflections of Gold",-09-24
"Quiet Cove",-10-1
"River's Peace",-10-8
"At Dawn's Light",-10-15
"Valley Waterfall",-10-22
"Toward Day's End",-10-29
"Falls in the Glen",-11-5
"Frozen Beauty in Vignette",-11-12
"Crimson Tide",-11-19
"Winter Bliss",-11-26
"Grey Mountain",-01-7
"Wayside Pond",-01-14
"Teton Winter",-01-21
"Little Home in the Meadow",-01-28
"Pretty Autumn Day",-02-4
"Mirrored Images",-02-11
"Back-Country Path",-02-18
"Graceful Waterfall",-02-25
"Icy Lake",-03-3
"Rowboat on the Beach",-03-10
"Portrait of Winter",-03-17
"Footbridge",-03-24
"Snowbound Cabin",-03-31
"Hide-a-Way Cove",-08-25
"Enchanted Falls Oval",-09-1
"Not Quite Spring",-09-8
"Splashes of Autumn",-09-15
"Summer in the Mountains",-09-22
"Oriental Falls",-09-29
"Autumn Palette",-10-6
"Cypress Swamp",-10-13
"Downstream View",-10-20
"Just Before the Storm",-10-27
"Fisherman's Paradise",-11-3
"Desert Hues",-11-10
"The Property Line",-11-17
"In the Stillness of Morning",-12-1
"Delightful Meadow Home",-12-8
"First Snow",-12-15
"Lake in the Valley",-12-22
"A Trace of Spring",-12-29
"Highland Stream",-01-5
"Silent River",-01-12
"Backwoods Trail",-01-19
"Winter View",-01-26
"Quiet Spring",-02-2
"Evergreen Valley",-02-9
"Springtime Dreams",-02-16
"Shadows in Winter",-02-23
"Above the Lake",-03-1
"Gentle Falls",-03-9
"Riverside Home",-03-16
"Woodland Oasis",-03-23
"Autumn Graces",-09-14
"After the Storm",-09-21
"Quiet Stream",-09-28
"Long Valley",-10-5
"Fall Reflections",-10-12
"Nature's Secrets",-10-19
"Misty Forest",-10-26
"Winter Break",-11-2
"Autumn on the Ridge",-11-9
"Autumn's Last Stand",-11-16
"Frozen Beauty",-11-23
"Holiday Tranquility",-12-7
"Snow-covered Mill",-12-14
"Early Spring",-12-21
"Mountain Afternoon",-12-28
"Sunrise Winter",-01-4
"The Hidden Path",-01-11
"Joy of Winter",-01-18
"Woodland Stream",-01-25
"Winter Wonder",-02-1
"Frosty Oak",-02-8
"Snowfall Cascade",-02-15
"After the Snow",-02-22
"First Light",-03-1
"Mountain Scene",-03-8
"Grand Canyon",-03-15
"Winter's End",-03-22
